candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
AHR_FOXL2,AHR,FOXL2,0.34927413,0.14285714285714285,0.012451047077775002,0.04928268308923132,0.7755837455778903
CDKN1C_FOXL2,CDKN1C,FOXL2,0.34922138,0.14285714285714285,0.01288622710853815,0.04925406924410573,0.7751334366298629
CSRNP1_HOXB9,CSRNP1,HOXB9,0.17442478,0.2857142857142857,0.011884920299053192,0.04925031603221476,0.7750743706465624
MEIS1_SLC6A9,MEIS1,SLC6A9,0.17393023,0.2857142857142857,0.009072496555745602,0.04924755253680245,0.7750308802765498
MAP7D1_TBX3,MAP7D1,TBX3,0.34853023,0.14285714285714285,0.011115827597677708,0.049242660349439145,0.7749538897240583
HOXC13_TBX3,HOXC13,TBX3,0.3484613,0.14285714285714285,0.011015186086297035,0.04923782196212591,0.774877745847148
HOXB9_SET,HOXB9,SET,0.35058942,0.14285714285714285,0.017878906801342964,0.04920448114900274,0.7743530464780845
CDKN1B_MIDN,CDKN1B,MIDN,0.34814563,0.14285714285714285,0.010999138467013836,0.049193998956012154,0.7741880834932812
FOXA3_SNAI1,FOXA3,SNAI1,0.3484653,0.14285714285714285,0.01237181294709444,0.04917240444516818,0.7738482409653498
IRF1_TBX3,IRF1,TBX3,0.3479269,0.14285714285714285,0.01086567435413599,0.049169584265234996,0.7738038585255418
KIF18B_MAP2K3,KIF18B,MAP2K3,0.115311734,0.42857142857142855,0.0054644509218633175,0.04915073296550973,0.7735071871445729
TBX3_ZNF318,TBX3,ZNF318,0.3487809,0.14285714285714285,0.013741880655288696,0.04915042363566248,0.7735023190816649
CITED1_SGK1,CITED1,SGK1,0.34873483,0.14285714285714285,0.01392827183008194,0.049134896638917756,0.7732579637515982
MAPK1_TBX3,MAPK1,TBX3,0.34756508,0.14285714285714285,0.011130636557936668,0.049105578608091296,0.7727965727165325
MEIS1_TBX3,MEIS1,TBX3,0.3483253,0.14285714285714285,0.013851422816514969,0.049080918324860064,0.7724084827499034
HK2_MEIS1,HK2,MEIS1,0.17314656,0.2857142857142857,0.008232786320149899,0.0490664919953953,0.7721814491157776
BAK1_TGFBR2,BAK1,TGFBR2,0.11541257,0.42857142857142855,0.008526390418410301,0.04904435887815704,0.7718331302968147
SET_UBASH3A,SET,UBASH3A,0.3478302,0.14285714285714285,0.01331067644059658,0.04903730968805031,0.7717221940221729
KMT2A_MAP4K3,KMT2A,MAP4K3,0.11501256,0.42857142857142855,0.005398007575422525,0.04902645041262019,0.7715512967214495
MIDN_SGK1,MIDN,SGK1,0.3478055,0.14285714285714285,0.013495165854692459,0.04902490083656042,0.771526910346172
KIF18B_TBX3,KIF18B,TBX3,0.34688255,0.14285714285714285,0.011692546308040619,0.04898192682498368,0.7708506090011165
FOXA1_SLC4A1,FOXA1,SLC4A1,0.17286615,0.2857142857142857,0.008406241424381733,0.04897860282199477,0.7707982976713176
DLX2_ELMSAN1,DLX2,ELMSAN1,0.11510178,0.42857142857142855,0.008275019004940987,0.04892448198906922,0.7699465737861105
FOSB_TBX3,FOSB,TBX3,0.3460999,0.14285714285714285,0.010868889279663563,0.04891123394518517,0.7697380833620285
SLC38A2_SPI1,SLC38A2,SPI1,0.08621212,0.5714285714285714,0.007709615398198366,0.04888716785236369,0.7693593444370777
